"file_stem","realty_address","epc_before_renovations","living_area_sqm","realty_type","year_of_built","epc_date","epc_date_valid_until"
"EPC_Certificate_French_3","False","False","False","False","False","False","False"
"EPC_Certificate_Dutch_2","False","True","True","True","True","True","True"
"EPC_Certificate_Austria_10","False","True","False","False","False","False","True"
"EPC_Certificate_Austria_6","False","True","False","False","True","False","False"
"EPC_Certificate_Austria_7","False","True","True","False","False","False","False"
"EPC_Certificate_Dutch_3","False","False","False","False","True","False","False"
"EPC_Certificate_French_2","False","False","False","False","True","False","False"
"EPC_Certificate_Dutch_4","False","False","False","False","False","False","False"
"EPC_Certificate_French_5","False","False","False","False","False","False","False"
"EPC in French","False","False","False","False","False","False","False"
"EPC_Certificate_French_4","False","False","False","False","True","False","False"
"Energie Certificaat","False","False","False","False","False","False","False"
"EPC_Certificate_Austria_1","False","False","False","False","False","False","False"
"EPC_Certificate_Dutch_5","False","False","False","False","False","False","False"
"EPC_Certificate_Austria_2","False","False","False","False","False","False","False"
"EPC_Certificate_Austria_3","False","False","False","False","False","False","True"
"EPC_Certificate_Austria_8","False","False","False","False","False","False","False"
"EPC_Certificate_French_1","False","False","False","False","False","False","False"
"DE-Muster-Energieausweis2","False","False","False","False","False","False","False"
"EPC_Certificate_Austria_4","False","False","True","False","False","False","False"
"EPC_Certificate_Dutch_1","False","False","False","False","True","False","False"
"EPC_Certificate_Austria_5","False","False","False","True","False","False","False"
"EPC in Dutch","False","True","False","False","False","False","False"
"EPC_Certificate_Austria_9","False","True","False","False","False","False","False"
"GEG24_Wohngebaeude Energieausweis Muster","False","True","True","True","True","True","True"
