"file_stem","realty_address","epc_before_renovations","living_area_sqm","realty_type","year_of_built","surface","price"
"e492840_eng","False","True","False","True","True","False","False"
"AUT_A2520_lang_expose","False","False","False","False","False","False","False"
"DE-Muster-Expose3-ausf++hrlich","False","True","False","False","False","False","True"
"e492830_eng","False","True","False","True","True","False","False"
"e492846_eng","False","True","False","False","False","True","False"
"DE-Muster-Expose4","False","True","False","False","False","True","False"
"immoweb.be_en_print_20232365","False","True","False","False","True","False","False"
"DE-Muster-Expose2","False","False","False","False","False","False","False"
"beeindruckendes_luxuspenthouse_mit_terrasse_und_garage_eng","False","True","False","False","False","True","False"
"expose-13858024-1728995178","False","True","False","False","False","False","False"
"e492810_eng","False","True","False","False","False","True","False"
