"Field","TP","FP","TN","FN","Accuracy","Precision","Recall","Balanced Acc."
"realty_address__street_number","19","5","1","0","0.8","0.7916666666666666","1.0","0.5833333333333334"
"realty_address__street_name","15","9","1","0","0.64","0.625","1.0","0.55"
"realty_address__zip_code","19","4","1","1","0.8","0.8260869565217391","0.95","0.575"
"realty_address__city","17","6","1","1","0.72","0.7391304347826086","0.9444444444444444","0.5436507936507936"
"epc_before_renovations","12","6","4","3","0.64","0.6666666666666666","0.8","0.6000000000000001"
"living_area_sqm","15","6","2","2","0.68","0.7142857142857143","0.8823529411764706","0.5661764705882353"
"realty_type","18","4","1","2","0.76","0.8181818181818182","0.9","0.55"
"year_of_built","14","4","7","0","0.84","0.7777777777777778","1.0","0.8181818181818181"
"epc_date","18","5","1","1","0.76","0.782608695652174","0.9473684210526315","0.5570175438596491"
"epc_date_valid_until","19","2","3","1","0.88","0.9047619047619048","0.95","0.7749999999999999"
