"Field","TP","FP","TN","FN","Accuracy","Precision","Recall","Balanced Acc."
"realty_address__street_number","15","8","1","1","0.64","0.6521739130434783","0.9375","0.5243055555555556"
"realty_address__street_name","12","11","1","1","0.52","0.5217391304347826","0.9230769230769231","0.5032051282051282"
"realty_address__zip_code","17","4","1","3","0.72","0.8095238095238095","0.85","0.525"
"realty_address__city","20","3","1","1","0.84","0.8695652173913043","0.9523809523809523","0.6011904761904762"
"epc_before_renovations","11","6","6","2","0.68","0.6470588235294118","0.8461538461538461","0.6730769230769231"
"living_area_sqm","9","12","1","3","0.4","0.42857142857142855","0.75","0.41346153846153844"
"realty_type","16","7","1","1","0.68","0.6956521739130435","0.9411764705882353","0.5330882352941176"
"year_of_built","13","5","6","1","0.76","0.7222222222222222","0.9285714285714286","0.737012987012987"
"epc_date","18","5","1","1","0.76","0.782608695652174","0.9473684210526315","0.5570175438596491"
"epc_date_valid_until","17","5","2","1","0.76","0.7727272727272727","0.9444444444444444","0.6150793650793651"
