"Field","TP","FP","TN","FN","Accuracy","Precision","Recall","Balanced Acc."
"realty_address__street_number","2","1","8","0","0.9090909090909091","0.6666666666666666","1.0","0.9444444444444444"
"realty_address__street_name","3","1","7","0","0.9090909090909091","0.75","1.0","0.9375"
"realty_address__zip_code","6","4","1","0","0.6363636363636364","0.6","1.0","0.6"
"realty_address__city","7","4","0","0","0.6363636363636364","0.6363636363636364","1.0","0.5"
"epc_before_renovations","3","0","6","2","0.8181818181818182","1.0","0.6","0.8"
"living_area_sqm","6","5","0","0","0.5454545454545454","0.5454545454545454","1.0","0.5"
"realty_type","6","5","0","0","0.5454545454545454","0.5454545454545454","1.0","0.5"
"year_of_built","6","2","3","0","0.8181818181818182","0.75","1.0","0.8"
"surface","3","3","4","1","0.6363636363636364","0.5","0.75","0.6607142857142857"
"price","6","4","1","0","0.6363636363636364","0.6","1.0","0.6"
