"Field","TP","FP","TN","FN","Accuracy","Precision","Recall","Balanced Acc."
"realty_address__street_number","2","3","6","0","0.7272727272727273","0.4","1.0","0.8333333333333333"
"realty_address__street_name","1","10","0","0","0.09090909090909091","0.09090909090909091","1.0","0.5"
"realty_address__zip_code","3","5","2","1","0.45454545454545453","0.375","0.75","0.5178571428571428"
"realty_address__city","4","4","1","2","0.45454545454545453","0.5","0.6666666666666666","0.43333333333333335"
"epc_before_renovations","2","0","6","3","0.7272727272727273","1.0","0.4","0.7"
"living_area_sqm","4","7","0","0","0.36363636363636365","0.36363636363636365","1.0","0.5"
"realty_type","7","4","0","0","0.6363636363636364","0.6363636363636364","1.0","0.5"
"year_of_built","5","3","3","0","0.7272727272727273","0.625","1.0","0.75"
"surface","3","3","4","1","0.6363636363636364","0.5","0.75","0.6607142857142857"
"price","6","5","0","0","0.5454545454545454","0.5454545454545454","1.0","0.5"
